trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,False,"{'a': 0.5, 'e': 0.09071795328941251}",30,12,31.682887395749272,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.0901752752318818}",25,12,19.845192825971314,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.08963584349399842}",20,12,14.010374490631538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.08909963865616147}",25,13,17.784783257811206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.08856664141493896}",30,15,23.307121863534668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.5, 'e': 0.08803683258237255}",25,7,2.2469554316977716,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.08751019308528712}",20,0,31.877666855328826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.5, 'e': 0.08698670396460385}",30,15,28.12001827744862,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.08646634637465792}",30,18,-8.021178533900684,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.08594910158251981}",20,14,10.670920279488076,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.08543495096732123}",25,18,13.06758185363972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.08492387601958441}",30,12,33.888324975954525,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.08441585834055614}",20,16,8.93077786918558,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.083910879641545}",30,10,34.18070941026658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.08340892174326339}",20,10,16.088353753242266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.5, 'e': 0.08290996657517266}",25,11,15.05586912534582,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': 0.08241399617483297}",20,13,14.76488783389161,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.08192099268725626}",20,2,26.14470482129222,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.08143093836426381}",20,13,13.473225091054292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.08094381556384699}",35,21,-18.88688868753092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
419,False,"{'a': 0.5, 'e': 0.08045960674953244}",20,8,20.379051464868787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.07997829448975048}",20,9,17.746138243324857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.07949986145720786}",25,19,9.794682087766361,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.07902429042826366}",20,4,28.105534594189816,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.07855156428230954}",25,13,17.821259467272938,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.07808166600115313}",20,3,28.48427717664154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.07761457866840563}",25,8,29.035608925589614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': 0.07715028546887258}",30,12,18.795890348589538,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.5, 'e': 0.0766887696879486}",25,15,-22.536784137949688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
428,False,"{'a': 0.5, 'e': 0.07623001471101583}",30,10,-6.673067605209805,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
429,False,"{'a': 0.5, 'e': 0.07577400402284548}",25,0,0.6849051605637289,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
430,False,"{'a': 0.5, 'e': 0.07532072120700357}",20,13,13.256909360397515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.07487014994525974}",25,20,9.549321104181631,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.5, 'e': 0.07442227401699995}",30,23,12.371269203094531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': 0.07397707729864236}",20,3,-23.587442379700477,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
434,False,"{'a': 0.5, 'e': 0.0735345437630571}",20,0,11.17506818873412,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
435,False,"{'a': 0.5, 'e': 0.07309465747898901}",25,8,27.065110491789405,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.07265740261048442}",25,0,33.17415150888555,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
